"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GME00102404","1961","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       148","E","        86","E","         1","E","","","","","","","","","","","","","","","","","  25.6"," ,E,0712, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    751.6"," ,E","","","","","",""
"GME00102404","1962","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       129","E","        73","E","         2","E","","","","","","","","","","","","","","","","","  46.6"," ,E,0101, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    695.8"," ,E","","","","","",""
"GME00102404","1963","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       138","E","        79","E","         3","E","","","","","","","","","","","","","","","","","  39.8"," ,E,0607, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    736.7"," ,E","","","","","",""
"GME00102404","1964","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       135","E","        88","E","         2","E","","","","","","","","","","","","","","","","","  45.6"," ,E,0829, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    742.3"," ,E","","","","","",""
"GME00102404","1965","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       200","E","       112","E","         3","E","","","","","","","","","","","","","","","","","  43.7"," ,E,0610, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1113.4"," ,E","","","","","",""
"GME00102404","1966","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       173","E","       101","E","         2","E","","","","","","","","","","","","","","","","","  32.8"," ,E,0705, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    985.6"," ,E","","","","","",""
"GME00102404","1967","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       147","E","        91","E","         5","E","","","","","","","","","","","","","","","","","  31.5"," ,E,1116, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    844.0"," ,E","","","","","",""
"GME00102404","1968","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       148","E","        82","E","         2","E","","","","","","","","","","","","","","","","","  69.1"," ,E,0921, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    760.2"," ,E","","","","","",""
"GME00102404","1969","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       133","E","        83","E","         5","E","","","","","","","","","","","","","","","","","  43.0"," ,E,0826, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    819.4"," ,E","","","","","",""
"GME00102404","1970","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       172","E","       106","E","         2","E","","","","","","","","","","","","","","","","","  28.2"," ,E,0820, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    889.6"," ,E","","","","","",""
